lap_id,driver,air_temp,track_temp,track_usage,humidity,wind_vel,wind_dir,precipitation,cloud_cover,fog_level,fuel_level,fuel_used,tire_compound
01KKW69GZCB324XTG9ZZ0PBERY,André Constantino2,19.873257,24.4444580078125,71.0,0.8157529,3.1235063,5.489207,0,4,0,15.39996,3.0210857,1.0
01JVZGJJNVW1K95D97SBM1WVPG,André Damrat,20.820322,22.22222900390625,28.0,0.8480459,2.6508534,1.3537661,0,4,0,13.362719,3.0463395,1.0
01K7BMV9PW120177FNRK2HF42S,Andy Pratt,18.951006,20.0,-1.0,0.9441305,0.63978916,3.9505186,0,1,0,10.213014,3.08083,
01K7BBDDCS10P5B6CVP7SQM6EJ,Angel Gerena2,18.987621,21.666656494140625,57.0,0.95,5.486222,0.17488831,0,2,0,14.632318,3.0243218,
01KDG18FANKWHTD5Y8PT8ANM6Q,Anique Hoogeveen,18.874647,25.0,-1.0,0.6511673,6.1833625,2.228707,0,2,0,31.714594,3.1232073,1.0
01K711KTZ65VRR59JB7QXGTK59,Anirban Mukhopadhyay,19.234201,21.666656494140625,42.0,0.9115068,4.7619467,0.54690284,0,2,0,21.104439,3.0947483,1.0
01K76EH83525MY3JM6TM39ECSF,Aniwat Lommahadthai,19.219353,20.555572509765625,28.0,0.95,2.420612,5.457162,0,3,0,45.64122,3.1540856,1.0
01KNSG9WT35QA7A92DD5R8ABTW,Ante Visic,18.689905,20.0,57.0,0.93522424,1.5048652,3.873386,0,1,0,39.424564,3.118395,1.0
01KDKZ5WYQB2TCCVJNSFJ7EV00,Anthony Ramirez3,18.902344,25.0,71.0,0.56690234,2.8109949,2.0997093,0,2,0,35.27656,3.0893168,1.0
01KDF97F78D0SV4GG2FA8WT3KX,Antonio Cardenas Barrera,18.971014,23.888885498046875,42.0,0.7176364,1.577808,0.81893414,0,2,0,36.657875,3.0452006,1.0
01JWRRQ00943AEPKZEFNAVGGGF,Aramasd Nersisian,20.0,20.555572509765625,57.0,0.7699999,2.2352,3.926991,0,2,0,3.8927703,3.0740905,1.0
01K72YE423DW6F0MDHQ3EMEQRX,Archie Hazell,18.333334,19.4444580078125,28.0,0.45,0.89408004,0.0,0,3,0,17.943748,3.0941393,1.0
01JVT0KGGSZ0VKB0X52Z4T0ZEF,Arn Solono,23.363794,24.4444580078125,71.0,0.6686834,3.9846346,3.6733005,0,1,0,3.7866933,3.0996563,1.0
01KD0NTSRM79ZAPQ1MG9S92W42,Arteom Tambur,20.114073,20.555572509765625,28.0,0.33365697,1.0681924,2.3992121,0,3,0,42.072315,3.093087,1.0
01KDB4E6WQ9NP0XQB52HK82T90,Arthur Lynch,19.146908,23.888885498046875,15.0,0.6194402,3.9076262,2.1680188,0,2,0,4.964534,3.0327013,1.0
01JQM1FZ7731N7ZY5KMF9QGX2Q,Arthur Patat,20.418428,31.111114501953125,57.0,0.4803079,4.5592003,4.102832,0,3,0,42.23872,3.1701374,1.0
01JXWRFEZQ046GDX7N94V9N5F3,Artur Halemba,19.650017,36.666656494140625,71.0,0.76051056,2.6059227,5.5495677,0,3,0,38.706173,3.0560563,1.0
01KDBE16HT31TZ3R9KVA0G0RN1,Asiera Madeu,19.05138,25.0,57.0,0.56484604,4.1745157,1.482391,0,2,0,23.516705,3.0380564,1.0
01K72NHFYXEZJ8K9YA4A85W3A5,Aston Egelmeers,19.205465,20.555572509765625,28.0,0.95,2.4882247,4.237793,0,3,0,30.46676,3.0393968,1.0
